# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1714639029.555125,0,-0.867977499961853,46.6661376953125,0,0
1,1714639029.561023,3200,-0.867977499961853,46.6661376953125,0.840255618095398,47.573455810546875
2,1714639030.092654,6400,-0.867977499961853,46.6661376953125,0.09540420770645142,16.92354393005371
3,1714639030.3991559,9600,-0.20345495641231537,57.69606018066406,0.09540420770645142,16.92354393005371
4,1714639030.730022,12800,-0.20345495641231537,57.69606018066406,0.34018585085868835,176.5220184326172
5,1714639030.953273,16000,-1.5940505266189575,288.69000244140625,0.34018585085868835,176.5220184326172
6,1714639031.357197,19200,-1.5940505266189575,288.69000244140625,1.06595778465271,330.6811218261719
7,1714639031.614495,22400,-1.5616706609725952,319.28582763671875,1.06595778465271,330.6811218261719
8,1714639032.006099,25600,-1.5616706609725952,319.28582763671875,0.9618976712226868,326.3296813964844
9,1714639032.223568,28800,-1.1859532594680786,291.8443603515625,0.9618976712226868,326.3296813964844
10,1714639032.719309,32000,-1.1859532594680786,291.8443603515625,0.7290101051330566,194.5941925048828
11,1714639032.9205172,35200,-1.0215169191360474,133.7594451904297,0.7290101051330566,194.5941925048828
12,1714639033.367806,38400,-1.0215169191360474,133.7594451904297,0.6288843154907227,72.4797592163086
13,1714639033.5986738,41600,-0.9054166674613953,48.061458587646484,0.6288843154907227,72.4797592163086
14,1714639034.108842,44800,-0.9054166674613953,48.061458587646484,0.5617825388908386,41.171669006347656
15,1714639034.243559,48000,-0.799349844455719,38.9554557800293,0.5617825388908386,41.171669006347656
16,1714639034.682069,51200,-0.799349844455719,38.9554557800293,0.5056169033050537,45.341766357421875
17,1714639034.8548539,54400,-0.6834214329719543,43.849334716796875,0.5056169033050537,45.341766357421875
18,1714639035.367599,57600,-0.6834214329719543,43.849334716796875,0.43159109354019165,34.39295959472656
19,1714639035.468897,60800,-0.5887563824653625,31.844148635864258,0.43159109354019165,34.39295959472656
20,1714639036.087592,64000,-0.5887563824653625,31.844148635864258,0.3996095657348633,29.46108627319336
21,1714639036.118882,67200,-0.5443484783172607,28.551713943481445,0.3996095657348633,29.46108627319336
22,1714639036.733591,70400,-0.5443484783172607,28.551713943481445,0.3846314251422882,31.585926055908203
23,1714639036.7403631,73600,-0.5189334750175476,31.78437042236328,0.3846314251422882,31.585926055908203
24,1714639037.3408508,76800,-0.5189334750175476,31.78437042236328,0.37183672189712524,47.791744232177734
25,1714639037.3499641,80000,-0.49583229422569275,46.69391632080078,0.37183672189712524,47.791744232177734
26,1714639037.985933,83200,-0.46247896552085876,35.6781005859375,0.37183672189712524,47.791744232177734
27,1714639038.052029,86400,-0.46247896552085876,35.6781005859375,0.33675163984298706,37.08235168457031
28,1714639038.568257,89600,-0.4427269995212555,42.42473220825195,0.33675163984298706,37.08235168457031
29,1714639038.684525,92800,-0.4427269995212555,42.42473220825195,0.3236899673938751,41.980037689208984
30,1714639039.235807,96000,-0.4221944510936737,39.39924240112305,0.3236899673938751,41.980037689208984
31,1714639039.375496,99200,-0.4221944510936737,39.39924240112305,0.31038177013397217,41.228843688964844
32,1714639039.82864,102400,-0.38519486784935,48.68806457519531,0.31038177013397217,41.228843688964844
33,1714639040.026419,105600,-0.38519486784935,48.68806457519531,0.27087801694869995,54.08904266357422
34,1714639040.4235241,108800,-0.3665337860584259,50.674293518066406,0.27087801694869995,54.08904266357422
35,1714639040.661115,112000,-0.3665337860584259,50.674293518066406,0.26169922947883606,45.54922866821289
36,1714639040.978188,115200,-0.35197344422340393,44.63833999633789,0.26169922947883606,45.54922866821289
37,1714639041.364106,118400,-0.35197344422340393,44.63833999633789,0.2715167701244354,48.47307205200195
38,1714639041.60196,121600,-0.3407750725746155,48.98147964477539,0.2715167701244354,48.47307205200195
39,1714639042.042377,124800,-0.3407750725746155,48.98147964477539,0.24766524136066437,47.951698303222656
40,1714639042.177769,128000,-0.3002719581127167,46.90898513793945,0.24766524136066437,47.951698303222656
41,1714639042.698124,131200,-0.3002719581127167,46.90898513793945,0.21704347431659698,44.92926788330078
42,1714639042.764738,134400,-0.2806340754032135,44.317813873291016,0.21704347431659698,44.92926788330078
43,1714639043.3283882,137600,-0.2806340754032135,44.317813873291016,0.20264364778995514,40.04342269897461
44,1714639043.3754408,140800,-0.2629229724407196,39.84941482543945,0.20264364778995514,40.04342269897461
45,1714639043.917879,144000,-0.23822180926799774,37.56648254394531,0.20264364778995514,40.04342269897461
46,1714639043.9694238,147200,-0.23822180926799774,37.56648254394531,0.17525354027748108,37.59172058105469
47,1714639044.5315578,150400,-0.22465957701206207,38.75046920776367,0.17525354027748108,37.59172058105469
48,1714639044.6435351,153600,-0.22465957701206207,38.75046920776367,0.16558215022087097,37.996055603027344
49,1714639045.1092758,156800,-0.2274148315191269,40.3712043762207,0.16558215022087097,37.996055603027344
50,1714639045.305364,160000,-0.2274148315191269,40.3712043762207,0.1737791895866394,40.78544998168945
51,1714639045.680834,163200,-0.21832148730754852,41.9500846862793,0.1737791895866394,40.78544998168945
52,1714639045.964737,166400,-0.21832148730754852,41.9500846862793,0.1663813591003418,42.87192916870117
53,1714639046.2690508,169600,-0.21327342092990875,43.50349044799805,0.1663813591003418,42.87192916870117
54,1714639046.616682,172800,-0.21327342092990875,43.50349044799805,0.1507064700126648,42.52485275268555
55,1714639046.9183831,176000,-0.18764953315258026,40.273887634277344,0.1507064700126648,42.52485275268555
56,1714639047.321824,179200,-0.18764953315258026,40.273887634277344,0.1371709406375885,34.40586471557617
57,1714639047.4936981,182400,-0.1819387823343277,32.13595199584961,0.1371709406375885,34.40586471557617
58,1714639047.955809,185600,-0.1819387823343277,32.13595199584961,0.13147135078907013,34.19357681274414
59,1714639048.0852659,188800,-0.17284834384918213,36.46424865722656,0.13147135078907013,34.19357681274414
60,1714639048.6333802,192000,-0.17284834384918213,36.46424865722656,0.13027827441692352,41.213619232177734
61,1714639048.673422,195200,-0.16701698303222656,42.42832565307617,0.13027827441692352,41.213619232177734
62,1714639049.255399,198400,-0.15620800852775574,44.99016571044922,0.13027827441692352,41.213619232177734
63,1714639049.26338,201600,-0.15620800852775574,44.99016571044922,0.11642622947692871,44.60661315917969
64,1714639049.815142,204800,-0.15683972835540771,43.31879425048828,0.11642622947692871,44.60661315917969
65,1714639049.913425,208000,-0.15683972835540771,43.31879425048828,0.11992525309324265,43.13771438598633
66,1714639050.376769,211200,-0.14913403987884521,44.3734130859375,0.11992525309324265,43.13771438598633
67,1714639050.596205,214400,-0.14913403987884521,44.3734130859375,0.11644024401903152,44.3898811340332
68,1714639051.006027,217600,-0.1492738276720047,46.08182144165039,0.11644024401903152,44.3898811340332
69,1714639051.186712,220800,-0.1492738276720047,46.08182144165039,0.11680174618959427,46.323143005371094
70,1714639051.585799,224000,-0.14735916256904602,45.80772018432617,0.11680174618959427,46.323143005371094
71,1714639051.881214,227200,-0.14735916256904602,45.80772018432617,0.10822468250989914,46.23695755004883
72,1714639052.186035,230400,-0.14153937995433807,46.413780212402344,0.10822468250989914,46.23695755004883
73,1714639052.5643148,233600,-0.14153937995433807,46.413780212402344,0.09683751314878464,44.481475830078125
