# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1714862315.424384,0,0,0,-0.2765711545944214,8.17593002319336
1,1714862315.492775,3200,0.16213086247444153,10.89822769165039,-0.2765711545944214,8.17593002319336
2,1714862315.984336,6400,0.07048636674880981,12.56275749206543,-0.2765711545944214,8.17593002319336
3,1714862315.994853,9600,0.07048636674880981,12.56275749206543,-0.18360154330730438,10.806571960449219
4,1714862316.594455,12800,0.05737552419304848,10.296012878417969,-0.18360154330730438,10.806571960449219
5,1714862316.679727,16000,0.05737552419304848,10.296012878417969,-0.13177601993083954,10.258735656738281
6,1714862317.079017,19200,0.05752699077129364,9.770718574523926,-0.13177601993083954,10.258735656738281
7,1714862317.384943,22400,0.05752699077129364,9.770718574523926,-0.09463269263505936,10.024599075317383
8,1714862317.7232692,25600,0.026461321860551834,11.1946382522583,-0.09463269263505936,10.024599075317383
9,1714862318.075556,28800,0.026461321860551834,11.1946382522583,-0.0678030326962471,11.825353622436523
10,1714862318.282685,32000,0.010730861686170101,12.570640563964844,-0.0678030326962471,11.825353622436523
11,1714862318.770607,35200,0.010730861686170101,12.570640563964844,-0.032962340861558914,13.26880168914795
12,1714862318.803869,38400,-0.010113243944942951,13.071389198303223,-0.032962340861558914,13.26880168914795
13,1714862319.336447,41600,0.0019403863698244095,9.445527076721191,-0.032962340861558914,13.26880168914795
14,1714862319.527033,44800,0.0019403863698244095,9.445527076721191,-0.04387113079428673,9.22214126586914
15,1714862320.009235,48000,-0.014489392749965191,10.408287048339844,-0.04387113079428673,9.22214126586914
16,1714862320.234436,51200,-0.014489392749965191,10.408287048339844,-0.0036297887563705444,11.488151550292969
17,1714862320.587466,54400,-0.060241468250751495,14.9508056640625,-0.0036297887563705444,11.488151550292969
18,1714862320.9299352,57600,-0.060241468250751495,14.9508056640625,0.02445962280035019,15.672144889831543
19,1714862321.1013188,60800,-0.04939153417944908,12.167555809020996,0.02445962280035019,15.672144889831543
20,1714862321.626801,64000,-0.04898211732506752,9.640625953674316,0.02445962280035019,15.672144889831543
21,1714862321.635803,67200,-0.04898211732506752,9.640625953674316,0.020326633006334305,9.383484840393066
22,1714862322.174423,70400,-0.033645860850811005,8.481889724731445,0.020326633006334305,9.383484840393066
23,1714862322.358464,73600,-0.033645860850811005,8.481889724731445,0.009322264231741428,8.593655586242676
24,1714862322.741916,76800,-0.03453845903277397,9.719871520996094,0.009322264231741428,8.593655586242676
25,1714862323.0701451,80000,-0.03453845903277397,9.719871520996094,0.008364473469555378,9.723252296447754
26,1714862323.32477,83200,-0.02263370156288147,7.784974575042725,0.008364473469555378,9.723252296447754
27,1714862323.766168,86400,-0.02263370156288147,7.784974575042725,-0.03470074385404587,7.848392963409424
28,1714862323.824577,89600,0.008009664714336395,7.522764682769775,-0.03470074385404587,7.848392963409424
29,1714862324.4090219,92800,0.023181438446044922,7.5456976890563965,-0.03470074385404587,7.848392963409424
30,1714862324.5170372,96000,0.023181438446044922,7.5456976890563965,-0.06317026913166046,7.794177055358887
31,1714862325.015726,99200,0.028746167197823524,8.254731178283691,-0.06317026913166046,7.794177055358887
32,1714862325.287246,102400,0.028746167197823524,8.254731178283691,-0.07759048044681549,8.134119033813477
33,1714862325.584105,105600,0.038291722536087036,7.821147918701172,-0.07759048044681549,8.134119033813477
34,1714862325.9611049,108800,0.038291722536087036,7.821147918701172,-0.09095931053161621,7.72970724105835
35,1714862326.1270888,112000,0.04254874587059021,7.8704915046691895,-0.09095931053161621,7.72970724105835
36,1714862326.6052082,115200,0.0503748320043087,7.038280010223389,-0.09095931053161621,7.72970724105835
37,1714862326.7416031,118400,0.0503748320043087,7.038280010223389,-0.1054639145731926,6.980067253112793
38,1714862327.214678,121600,0.06043945625424385,6.795148849487305,-0.1054639145731926,6.980067253112793
39,1714862327.44007,124800,0.06043945625424385,6.795148849487305,-0.12303810566663742,6.321740627288818
40,1714862327.800676,128000,0.07176746428012848,6.5178937911987305,-0.12303810566663742,6.321740627288818
41,1714862328.276856,131200,0.07176746428012848,6.5178937911987305,-0.1408284455537796,6.186227321624756
42,1714862328.4262888,134400,0.07731228321790695,7.140787124633789,-0.1408284455537796,6.186227321624756
43,1714862329.023784,137600,0.08734478801488876,6.565854549407959,-0.1408284455537796,6.186227321624756
44,1714862329.0415978,140800,0.08734478801488876,6.565854549407959,-0.15507832169532776,7.038085460662842
45,1714862329.5868149,144000,0.09190016239881516,7.531393051147461,-0.15507832169532776,7.038085460662842
46,1714862329.795118,147200,0.09190016239881516,7.531393051147461,-0.16556870937347412,6.989893913269043
47,1714862330.189441,150400,0.09374397993087769,7.492630481719971,-0.16556870937347412,6.989893913269043
48,1714862330.4659798,153600,0.09374397993087769,7.492630481719971,-0.16701121628284454,6.968305587768555
49,1714862330.7064478,156800,0.09342996031045914,8.921987533569336,-0.16701121628284454,6.968305587768555
50,1714862331.205097,160000,0.09342996031045914,8.921987533569336,-0.17262764275074005,8.454004287719727
